"calulation_point","Instantaneous Power","Wind Speed","Wind Direction","Air Temperature","Rotor Speed"
"11-28 22:34",401.2,19.35,219.4,59,25
"11-28 22:36",393.6,17.29,224,59,25
"11-28 22:37",577.4,22.59,222.3,59,25
"11-28 22:38",364.4,16.89,227.1,59,25
"11-28 22:39",466,20.54,226.7,59,25
"11-28 22:43",412,18.63,226.3,59,25
"11-28 22:44",482.1,19.46,216.6,59,25
"11-28 22:48",256,15.23,223.4,59,25
"11-28 22:49",288,14.99,222.4,59,25
"11-28 22:54",227.6,15.5,223.1,59,25
"11-28 22:55",287.8,15.84,221.4,59,25
"11-28 22:56",376,17.52,219.3,59,25
"11-28 22:57",457.7,19.28,223,59,25
"11-28 22:58",436.1,19.15,224.2,59,25
"11-28 22:59",311.9,17.11,224.1,59,25
"11-28 23:00",208.1,14.38,217.8,59,25
"11-28 23:01",290.8,15.43,223,59,25
"11-28 23:02",297.6,15.37,226.7,59,25
"11-28 23:03",363.9,17.34,224.4,59,25
"11-28 23:04",464.9,18.83,226.4,59,25
"11-28 23:09",513.3,20.85,226.5,59,25
"11-28 23:10",471.5,19.95,221.6,59,25
"11-28 23:11",314.8,15.59,224.4,59,25
"11-28 23:12",132,11.99,225.4,59,25
"11-28 23:13",134.8,11.99,226.3,59,25
"11-28 23:14",289.7,14.65,225.9,59,25
"11-28 23:15",409.3,17.74,230.6,59,25
"11-28 23:16",266.8,15.26,222.8,59,25
"11-28 23:17",188.2,12.84,227.7,59,25
"11-28 23:18",387.1,17.65,226.8,59,25
"11-28 23:19",310.2,16.69,230.9,59,25
"11-28 23:24",255,15.1,224.1,59,25
"11-28 23:37",244.5,13.29,234.7,59,25
"11-28 23:38",415.5,18.28,227.5,59,25
"11-28 23:39",342.2,16.71,226.2,59,25
"11-28 23:46",277.8,15.19,226.4,59,25
"11-28 23:47",243.1,14.43,230.1,59,25
"11-28 23:48",145,12.37,227.9,59,25
"11-28 23:49",216.5,14.07,229.6,59,25
"11-28 23:50",258.3,15.17,226.8,59,25
"11-28 23:51",213.4,14.12,227.9,60.8,25
"11-28 23:52",253.9,14.2,230,59,25
"11-28 23:53",257.2,14.99,223.8,59,25
