"calulation_point","Instantaneous Power","Wind Speed","Wind Direction","Air Temperature","Rotor Speed"
"11-29 08:39",26.5,6.93,298.4,48.2,16
"11-29 08:40",26,6.24,287.2,48.2,16
"11-29 08:41",18.1,5.73,297,48.2,16
"11-29 08:42",72.5,8.86,289.5,46.4,16.1
"11-29 08:43",33.4,7.38,301.5,46.4,16
"11-29 08:44",46.8,7.63,295.2,48.2,16
"11-29 08:45",11.1,5.41,296.3,48.2,16
"11-29 08:46",64.9,8.46,292.9,48.2,16
"11-29 08:47",79.5,10.49,291.7,48.2,16.1
"11-29 08:48",69,9.6,284.4,48.2,16.1
"11-29 08:49",44.2,7.54,301.8,48.2,16
"11-29 08:59",211.3,13.47,310.6,48.2,25
"11-29 09:01",76.6,10.54,286.5,46.4,25
"11-29 09:02",92.2,9.93,300.2,46.4,25
"11-29 09:03",128.5,11.05,289.5,48.2,25
"11-29 09:04",17.5,7.14,303.9,48.2,25
"11-29 09:10",148.2,11.65,301.5,48.2,25
"11-29 09:11",180.3,11.83,298.8,46.4,25
"11-29 09:12",143.4,11.79,295.3,48.2,25
"11-29 09:13",132.6,11.5,306.9,48.2,25
"11-29 09:14",102,10.67,305.4,48.2,25
"11-29 09:17",17.1,6.64,327.7,48.2,25
"11-29 09:18",27.2,7.81,311.7,48.2,25
"11-29 09:19",111.1,10.67,314.5,48.2,25
"11-29 09:27",65.4,8.32,290,48.2,16
"11-29 09:28",67.8,9.51,302.8,48.2,16.1
"11-29 09:29",115.4,10.54,305,48.2,16.1
"11-29 09:30",131.8,11.54,305.1,48.2,16.1
"11-29 09:31",100.6,10.63,300.9,48.2,16.1
"11-29 09:32",113.5,10.71,291.2,48.2,16.1
"11-29 09:33",83.1,10.4,312.9,48.2,16
"11-29 09:34",86.1,10.07,320.2,48.2,16.1
"11-29 09:35",66.7,9.1,307.7,48.2,16
"11-29 09:36",47.1,8.25,310.1,48.2,16
"11-29 09:37",44.3,8.57,319.6,48.2,16
"11-29 09:38",87.8,11.65,309,48.2,16.1
"11-29 09:39",0,13,308.7,48.2,20.3
"11-29 09:47",12.2,9.35,314.6,48.2,25
"11-29 09:48",11.3,6.22,297.1,48.2,25
"11-29 09:49",12.8,6.89,297.4,48.2,25
"11-29 09:50",109.3,10.09,300.8,48.2,25
"11-29 09:51",73.6,9.48,301.5,48.2,25
"11-29 09:52",40.7,8.5,301.8,48.2,25
"11-29 09:53",74.9,9.75,300.7,48.2,25
"11-29 09:54",49.6,8.9,304.9,48.2,25
"11-29 09:55",4.8,6.85,296.4,48.2,21.7
"11-29 09:56",59.7,9.04,303.8,48.2,16.1
"11-29 09:57",36.7,7.56,312.9,48.2,16
"11-29 09:58",28.2,7.11,304.6,48.2,16
"11-29 09:59",37.7,7.56,308.6,48.2,16.1
"11-29 10:00",2.4,4.92,320,50,16
"11-29 10:01",0.1,5.01,293.9,50,14
"11-29 10:02",0,6.29,308,50,8.2
"11-29 10:03",0,6.89,303.3,48.2,8
"11-29 10:04",0,9.44,296.5,48.2,10.2
"11-29 10:05",16,7.36,302.4,48.2,15
"11-29 10:06",57.2,9.6,297.1,48.2,16.1
"11-29 10:07",48.5,7.76,305.3,48.2,16
"11-29 10:08",55.6,9.13,293.4,48.2,16
"11-29 10:09",91.9,10.04,318.9,48.2,16.1
"11-29 10:23",168.5,14.16,300.2,48.2,16.3
"11-29 10:24",27.9,13.91,285.1,46.4,18.5
"11-29 10:34",31.3,7.02,282.1,48.2,16
"11-29 10:35",102.1,11.7,282.9,48.2,16.1
"11-29 10:36",68.4,9.57,282.1,48.2,16
"11-29 10:37",32.4,7.47,293.8,48.2,16
"11-29 10:38",14.4,5.35,303.4,48.2,16
"11-29 10:39",115.5,11.23,299.8,48.2,16.1
"11-29 10:40",1.4,9.73,312.6,48.2,20
"11-29 10:41",16.5,8.46,314.6,48.2,25
"11-29 10:42",10.1,8.5,318.7,48.2,22
"11-29 10:43",82.7,9.8,305.4,48.2,16.1
"11-29 10:44",78.7,10.29,321.6,48.2,16
"11-29 10:45",110.7,10.58,299.1,48.2,16.1
"11-29 10:46",95.5,10.2,308,48.2,16
"11-29 10:47",102.8,10.11,313.1,48.2,16
"11-29 10:48",91.7,10.76,310,48.2,16.1
"11-29 10:49",98.7,10.42,304.7,48.2,16.1
"11-29 10:56",46.9,8.1,312.8,48.2,25
"11-29 10:57",78.7,9.62,301.4,48.2,25
"11-29 10:58",46.8,8.84,297.6,48.2,25
"11-29 10:59",27,8.68,295.9,48.2,25
"11-29 11:00",59.3,9.53,297.2,48.2,25
"11-29 11:01",32.9,8.77,290.3,48.2,25
"11-29 11:02",5,6.51,286.8,48.2,17.8
"11-29 11:03",31.4,7.56,288.8,48.2,16
"11-29 11:04",48.2,8.57,285.4,48.2,16
"11-29 11:05",88.8,11.03,314.4,48.2,16.1
"11-29 11:06",2.3,11.65,309.2,46.4,21.1
"11-29 11:07",47.1,8.9,310.5,46.4,25
"11-29 11:08",65.8,9.57,314.1,46.4,25
"11-29 11:09",55.3,9.13,325,48.2,25
"11-29 11:10",37.7,8.84,329.6,48.2,25
"11-29 11:11",32.4,8.66,318.4,48.2,25
"11-29 11:12",24,7.63,327.8,48.2,25
"11-29 11:13",49.3,8.88,326.9,48.2,25
"11-29 11:14",77.6,9.57,331.9,48.2,25
"11-29 11:21",80.5,9.33,323.4,48.2,25
"11-29 11:22",63.1,9.84,310.7,48.2,25
"11-29 11:23",25.4,8.08,316.5,48.2,25
"11-29 11:24",13.9,7.4,313.8,48.2,25
"11-29 11:25",52.2,9.13,288,48.2,25
"11-29 11:26",106,10.56,323.5,48.2,25
"11-29 11:27",145.7,11.65,325.4,48.2,25
"11-29 11:28",110.8,11.3,301.9,48.2,25
"11-29 11:29",117.9,10.85,306,48.2,25
"11-29 11:35",95.4,10.13,281,48.2,16
"11-29 11:36",47.5,7.94,303.1,48.2,16
"11-29 11:37",52.4,7.74,298,48.2,16
"11-29 11:38",47.6,7.36,308.1,48.2,16
"11-29 11:39",56.2,8.63,312.9,48.2,16
"11-29 11:40",37,8.3,329.6,48.2,16
"11-29 11:41",43.7,8.52,221.7,48.2,16
"11-29 11:42",14.7,5.73,199.4,48.2,16
"11-29 11:43",38.9,8.19,316.3,50,16
"11-29 11:44",36.6,7.52,174.4,48.2,16
"11-29 11:45",7.4,5.03,223,48.2,16
"11-29 11:46",30.4,8.21,322.2,48.2,16
"11-29 11:47",8.6,5.08,294.3,48.2,16
"11-29 11:48",66,8.7,329,50,16
"11-29 11:49",50.7,7.81,327.9,48.2,16
"11-29 11:50",29.5,6.91,240,48.2,16
"11-29 11:51",13.2,5.55,245.6,48.2,16
"11-29 11:52",12.9,6.2,310.9,48.2,16
"11-29 11:53",5,4.81,311,50,16
"11-29 11:54",25.7,6.76,310.8,50,16
"11-29 11:55",53.1,7.99,293.9,48.2,16
"11-29 11:56",54.3,9.46,329.2,48.2,16
"11-29 11:57",22.8,8.01,307,48.2,16
"11-29 11:58",27.2,6.91,306.7,50,16
"11-29 11:59",48,7.52,299.1,48.2,16
"11-29 12:00",9.7,5.57,303.3,50,16
"11-29 12:01",45.1,8.08,306.4,48.2,16
"11-29 12:02",64.6,9.66,303.1,48.2,16
"11-29 12:03",0.7,4.94,304,48.2,15.1
"11-29 12:04",0,6.49,279.2,48.2,8.9
"11-29 12:05",0,2.68,286,48.2,7.3
"11-29 12:06",0,3.27,287.6,50,8.8
"11-29 12:07",0,5.01,289.8,50,11.8
"11-29 12:08",13.4,6.02,298.7,48.2,16
"11-29 12:09",6.6,6.2,281.6,48.2,16.1
"11-29 12:10",1.5,6.51,262.6,50,15.2
"11-29 12:11",0,6.87,318.5,48.2,9
"11-29 12:12",0,8.7,307.1,48.2,8
"11-29 12:13",0,10.27,313,48.2,9.4
"11-29 12:14",16.9,11.05,309.2,48.2,15.4
"11-29 12:31",69.6,9.06,204.3,48.2,16
"11-29 12:32",68.9,9.66,272.7,48.2,16.1
"11-29 12:33",25.3,5.99,268.2,48.2,16
"11-29 12:34",27.2,6.42,279.9,48.2,16.1
"11-29 12:40",45.3,7.31,321.7,48.2,16
"11-29 12:41",50.9,8.14,315.6,48.2,16
"11-29 12:42",46.7,7.83,317.5,48.2,16
"11-29 12:43",31.7,6.69,312.3,48.2,16
"11-29 12:44",20,7.11,301.6,48.2,16
"11-29 12:45",30.7,7.43,303.4,48.2,16
"11-29 12:46",56,8.05,310.8,48.2,16.1
"11-29 12:47",19.7,6.38,324,48.2,16
"11-29 12:48",41.6,8.97,338.5,48.2,16
"11-29 12:49",103.5,11.83,318.3,48.2,16.1
"11-29 12:50",54.5,7.54,304.2,48.2,16.1
"11-29 12:51",56.3,8.14,318.1,48.2,16
"11-29 12:52",37,7,326.3,48.2,16
"11-29 12:53",33.9,6.49,324.5,48.2,16
"11-29 12:54",20.8,6.44,328.7,48.2,16
"11-29 12:55",14.9,5.1,313.8,48.2,16
"11-29 12:56",3.9,4.5,317.9,48.2,16
"11-29 12:57",0,3.94,317.1,48.2,14.3
"11-29 12:58",0,4.68,302.1,48.2,8.2
"11-29 12:59",0,6.42,300.5,48.2,8
"11-29 13:00",0,5.95,218.1,48.2,9.6
"11-29 13:01",15.8,7.16,267,48.2,15.5
"11-29 13:02",38.5,7.65,271.1,48.2,16
"11-29 13:03",30.8,6.98,231.2,48.2,16
"11-29 13:04",61.5,8.72,301.3,48.2,16
"11-29 13:05",59.3,7.85,278.4,48.2,16
"11-29 13:06",39.6,7.18,278.1,48.2,16
"11-29 13:07",32.1,7.2,133.9,48.2,16
"11-29 13:08",18.6,6.06,200.3,48.2,16
"11-29 13:09",38.9,7.63,260.2,48.2,16.1
"11-29 13:18",58.6,8.72,313.5,48.2,16
"11-29 13:19",27.6,6.78,312.4,48.2,16
"11-29 13:20",10,5.91,313,48.2,16
"11-29 13:21",0.9,4.12,314.2,48.2,15.9
"11-29 13:22",0,5.14,273,48.2,10.2
"11-29 13:23",0,6.04,286.7,48.2,8
"11-29 13:24",0,7.2,302.3,48.2,8.6
"11-29 13:25",6.2,8.3,310,48.2,14.2
"11-29 13:26",44.1,7.63,299.9,48.2,16
"11-29 13:27",14.4,5.66,298.7,48.2,16
"11-29 13:28",4.7,5.08,314.8,48.2,16
"11-29 13:29",2.1,6.58,332.2,48.2,16
"11-29 13:30",1.1,8.1,349,48.2,16
"11-29 13:31",1.2,5.41,333.8,50,16
"11-29 13:32",0,5.26,289.5,50,11.6
"11-29 13:33",0,5.46,326.6,48.2,7.9
"11-29 13:34",0,6.35,335.4,48.2,8
"11-29 13:35",0,8.72,320.7,48.2,10.2
"11-29 13:36",22.9,7.74,315.1,48.2,15.8
"11-29 13:37",37.1,7.29,311.1,48.2,16
"11-29 13:38",23.9,7.05,311.3,48.2,16
"11-29 13:39",11.3,5.5,313.3,48.2,16
"11-29 13:47",3.4,5.86,98.3,48.2,16
"11-29 13:48",3.7,6.13,150.3,48.2,16
"11-29 13:49",5.1,5.5,297,48.2,16
"11-29 13:51",19.1,6.02,327.2,48.2,16
"11-29 13:52",14,5.93,328.3,48.2,16
"11-29 13:53",2.8,4.56,325.1,48.2,16
"11-29 13:54",6.1,4.81,336.5,48.2,16
"11-29 13:57",0,7.18,311.2,48.2,8
"11-29 13:58",0,5.59,310.5,48.2,8.4
"11-29 13:59",0,5.73,297.7,48.2,12.2
"11-29 14:00",10.4,7.34,319.7,48.2,16
"11-29 14:01",16.1,5.39,319.2,48.2,16
"11-29 14:02",18,5.97,317.6,48.2,16.1
"11-29 14:03",3.7,4.94,303.1,48.2,16
"11-29 14:04",0,5.48,333.3,48.2,13.6
"11-29 14:05",0,3.13,91.7,48.2,7.4
"11-29 14:06",0,0.27,89.7,50,6.2
"11-29 14:07",0,2.15,256.7,51.8,5
"11-29 14:08",0,3.18,293.4,51.8,5.7
"11-29 14:09",0,2.37,290.3,50,7
"11-29 14:10",0,2.48,327,50,7.9
"11-29 14:11",0,3.89,326.1,50,9.4
"11-29 14:12",0,5.3,299,50,11.1
"11-29 14:13",0,5.7,294.7,50,15.5
"11-29 14:14",2.5,5.88,288.5,48.2,16
"11-29 14:15",1.9,6.15,281.6,50,16
"11-29 14:16",3.6,5.88,294.8,50,16
"11-29 14:17",8,6.22,295.4,48.2,16
"11-29 14:18",1.9,4.5,307.7,48.2,16
"11-29 14:23",0,4.99,290.8,48.2,14.1
"11-29 14:24",0,5.59,291.8,48.2,14.8
"11-29 14:25",6.3,6.35,287.7,48.2,16
"11-29 14:26",18,7.38,300.7,50,16
"11-29 14:27",13.1,6.24,325.9,48.2,16
"11-29 14:28",9.8,5.32,290.1,48.2,16
"11-29 14:29",7,5.19,310.1,48.2,16
"11-29 14:31",0.1,3.71,257.7,48.2,14.9
"11-29 14:32",0,4,256,48.2,9.1
"11-29 14:33",0,0.85,240.1,48.2,7
"11-29 14:34",0,0.89,210,50,7
"11-29 14:36",0,5.41,281.3,50,10.4
"11-29 14:37",0,3.6,264.5,48.2,11.7
"11-29 14:38",0,4.45,300.9,48.2,13.4
"11-29 14:39",0,4.9,327.3,50,14
"11-29 14:55",0,0.83,163.5,50,3.5
"11-29 14:56",0,3.2,82.5,50,3.7
"11-29 14:57",0,2.55,299.5,48.2,5.3
"11-29 14:58",0,3.22,308.7,48.2,8.7
"11-29 14:59",0,3.2,315.8,48.2,10.2
"11-29 15:00",0,5.23,326.1,48.2,12.7
"11-29 15:01",0,4.23,266.9,48.2,14
"11-29 15:02",0,4.07,296.7,48.2,13.9
"11-29 15:03",0,3.13,328,48.2,12.7
"11-29 15:04",0,1.9,215.2,48.2,11.1
"11-29 15:05",0,0.16,272,50,9.3
"11-29 15:06",0,0.13,330.3,50,8
"11-29 15:07",0,0.47,283.5,50,7
"11-29 15:08",0,3.56,332.6,50,7.2
"11-29 15:09",0,3.02,229.6,50,8
"11-29 15:11",0,3.04,314.2,50,9.3
"11-29 15:12",0,3.83,312.5,50,11.3
"11-29 15:13",0,3.38,316.5,48.2,12.7
"11-29 15:14",0,4.81,306.3,48.2,14.4
"11-29 15:22",0,0.98,291.1,50,6.5
"11-29 15:23",0,4.03,170.1,50,6.9
"11-29 15:24",0,3.94,84.6,48.2,8
"11-29 15:28",0,2.82,323.1,48.2,11
"11-29 15:29",0,2.93,335.7,48.2,10.9
"11-29 15:30",0,0,334.8,50,9.1
"11-29 15:31",0,2.77,191.8,50,8.4
"11-29 15:32",0,3.29,207.5,50,7.9
"11-29 15:33",0,2.62,323,50,8
"11-29 15:34",0,2.24,159,50,7.6
"11-29 15:35",0,2.46,51,50,6.5
"11-29 15:36",0,3.02,33.5,50,5.9
"11-29 15:37",0,1.23,300.8,50,5.6
"11-29 15:38",0,0.02,310.9,50,6
"11-29 15:39",0,0,297.7,50,5.1
"11-29 15:40",0,1.59,297.2,50,5.4
"11-29 15:41",0,3.24,289.3,50,7
"11-29 15:42",0,3.53,321.9,50,8
"11-29 15:43",0,3.36,315.2,48.2,9.5
"11-29 15:44",0,4.34,304,48.2,10.5
"11-29 15:45",0,2.84,319,48.2,10.6
"11-29 15:46",0,2.35,315.5,48.2,10
"11-29 15:47",0,2.44,325.1,50,9
"11-29 15:48",0,1.19,325.5,50,8.3
"11-29 15:49",0,0.4,327.4,50,7.6
"11-29 15:57",0,1.32,315.4,48.2,6
"11-29 15:58",0,1.36,301.4,48.2,6.1
"11-29 15:59",0,1.48,298.4,48.2,6
"11-29 16:00",0,1.45,296.7,48.2,5.8
"11-29 16:01",0,2.95,317.5,48.2,6.3
"11-29 16:02",0,2.75,306.3,48.2,7.1
"11-29 16:03",0,0.92,299.9,48.2,7.6
"11-29 16:04",0,0.67,310.1,48.2,7
"11-29 16:05",0,0.56,306.8,48.2,7
"11-29 16:06",0,2.68,290.9,50,7
"11-29 16:07",0,3.51,306.3,48.2,7.6
"11-29 16:08",0,2.15,331.9,48.2,8
"11-29 16:09",0,2.77,323,48.2,8.7
"11-29 16:10",0,1.72,321,48.2,9
"11-29 16:11",0,3.67,165,48.2,9.5
"11-29 16:12",0,3.53,20.3,48.2,8.3
"11-29 16:13",0,1.81,148.1,48.2,7
"11-29 16:14",0,0.6,213.5,48.2,6.7
"11-29 16:21",0,0.96,318.4,48.2,5
"11-29 16:22",0,0.43,311.8,48.2,5
"11-29 16:23",0,0.49,302.5,48.2,5
"11-29 16:24",0,3.71,329.6,48.2,6.5
"11-29 16:25",0,1.9,304.7,48.2,7
"11-29 16:26",0,0.67,244.5,48.2,7
"11-29 16:27",0,1.1,235.7,48.2,7
"11-29 16:28",0,0.83,272,48.2,6.2
"11-29 16:29",0,0.16,292.1,48.2,6
"11-29 16:30",0,0.36,265.8,48.2,6
"11-29 16:31",0,0,270.7,48.2,5.4
"11-29 16:32",0,0,247.8,48.2,5
"11-29 16:33",0,0.49,56.8,48.2,5
"11-29 16:34",0,1.23,192.5,48.2,5
"11-29 16:35",0,1.12,236.3,48.2,5.3
"11-29 16:36",0,2.46,223,48.2,6.3
"11-29 16:37",0,3.65,324.7,48.2,8.2
"11-29 16:38",0,3.71,341.9,48.2,10.3
"11-29 16:39",0,3.29,277.1,48.2,11
"11-29 16:40",0,2.53,316.6,48.2,10.9
"11-29 16:41",0,0.63,331.7,48.2,9.9
"11-29 16:42",0,2.51,333,48.2,9
"11-29 16:43",0,3.47,333.5,48.2,10
"11-29 16:44",0,3.74,330.8,48.2,11.2
"11-29 16:45",0,4.68,324.1,48.2,12.9
"11-29 16:46",0,4.09,326.3,48.2,14.2
"11-29 16:47",4.6,5.37,330,48.2,15.8
"11-29 16:48",2.2,4.65,336,48.2,16
"11-29 16:49",3.1,4.68,336,48.2,16.1
"11-29 16:50",5,4.94,337.9,48.2,16
"11-29 16:51",5.9,4.99,334.1,48.2,16
"11-29 16:52",3.6,4.81,341.3,48.2,16
"11-29 16:53",4.1,4.97,341.1,48.2,16
"11-29 16:54",6.3,5.14,334.9,48.2,16
"11-29 16:55",7.1,5.19,340.7,48.2,16
"11-29 16:56",6,4.76,327.8,46.4,16
"11-29 16:57",10.4,5.48,331.7,48.2,16
"11-29 16:58",7.7,5.28,330.9,46.4,16
"11-29 16:59",7.2,5.3,334.9,46.4,16
"11-29 17:00",10.8,5.5,339,46.4,16
"11-29 17:01",9.2,5.41,336.8,46.4,16
"11-29 17:02",11.7,5.14,339.3,46.4,16
"11-29 17:03",14.1,5.59,338.1,46.4,16
"11-29 17:04",14.1,5.48,337.7,46.4,16
"11-29 17:05",16.5,5.57,336.4,46.4,16
"11-29 17:06",22.6,6.04,335,46.4,16
"11-29 17:07",24,6.35,334.5,46.4,16
"11-29 17:08",25.2,6.22,330.1,46.4,16
"11-29 17:09",25.2,6.26,335.5,46.4,16
"11-29 17:10",27.1,6.38,338.8,46.4,16
"11-29 17:11",24.7,6.24,339.4,46.4,16
"11-29 17:12",24.6,6.04,339.8,46.4,16
"11-29 17:13",23.7,6.11,338.8,46.4,16
"11-29 17:14",25.1,6.11,333.7,46.4,16
"11-29 17:15",22.9,6.04,340.4,46.4,16
"11-29 17:16",18.4,5.82,340.9,46.4,16
"11-29 17:17",19.8,5.84,343,46.4,16
"11-29 17:18",18.1,5.73,345,46.4,16
"11-29 17:19",18.2,5.77,339.6,46.4,16
"11-29 17:20",17.5,5.75,335.6,46.4,16
"11-29 17:21",17.1,5.79,339,46.4,16
"11-29 17:22",16.3,5.77,341.1,46.4,16
"11-29 17:23",17.5,5.86,334.6,46.4,16
"11-29 17:24",18.7,5.88,340.1,46.4,16
"11-29 17:25",17.9,5.79,344.4,46.4,16
"11-29 17:26",17.6,5.93,346.2,46.4,16
"11-29 17:27",13.6,5.86,341,46.4,16
"11-29 17:28",12.8,5.61,323.1,46.4,16
"11-29 17:29",10.1,5.53,337.9,46.4,16
"11-29 17:38",34.7,6.96,345.3,46.4,16
"11-29 17:39",37.9,7.02,338.8,46.4,16
"11-29 17:40",45.8,7.83,336.3,44.6,16
"11-29 17:41",46.7,8.32,328.4,44.6,16
"11-29 17:42",44.6,8.01,319.4,44.6,16
"11-29 17:43",42.1,7.83,312.3,44.6,16
"11-29 17:44",41.4,7.61,306.8,44.6,16
"11-29 17:45",45.8,8.03,307.7,44.6,16
"11-29 17:46",50,8.34,315.6,44.6,16
"11-29 17:47",48.3,8.03,310,44.6,16
"11-29 17:48",58.3,8.77,318.3,44.6,16
"11-29 17:49",60.5,8.63,307.5,44.6,16
"11-29 17:50",57.9,8.34,275.7,44.6,16
"11-29 17:51",58.6,8.21,278.1,44.6,16
"11-29 17:52",52.8,7.61,275.8,44.6,16
"11-29 17:53",55.3,7.65,290.4,44.6,16
"11-29 17:54",60.1,8.1,283.4,44.6,16
"11-29 17:56",66.1,8.1,280.4,44.6,16
"11-29 17:57",61.6,7.99,254.5,44.6,16
"11-29 17:58",66.1,8.1,217.7,44.6,16
"11-29 17:59",71.8,8.61,196.4,44.6,16
"11-29 18:00",70.5,8.34,128.1,44.6,16
"11-29 18:01",72.8,8.61,165.8,44.6,16
"11-29 18:02",69.1,8.59,125.4,44.6,16
"11-29 18:03",57.7,8.14,54.8,44.6,16
"11-29 18:04",73.3,9.86,130.8,44.6,16
"11-29 18:19",52.4,8.57,42.3,42.8,16
"11-29 18:22",90.5,10.67,63,42.8,16.1
"11-29 18:23",86.9,10.25,71.9,42.8,16.1
"11-29 18:24",91.9,10.27,108.8,42.8,16
"11-29 18:25",90.2,9.98,62.2,42.8,16
"11-29 18:26",78.9,9.44,47.4,42.8,16
"11-29 18:27",85.8,10.09,73.2,42.8,16
"11-29 18:28",70.9,9.13,40.5,42.8,16.1
"11-29 18:29",92.4,9.89,29,42.8,16.1
"11-29 18:30",75.2,9.98,47,42.8,16
"11-29 18:31",89.6,9.44,32.5,42.8,16
"11-29 18:32",62.7,9.01,29,42.8,16
"11-29 18:33",80.7,9.75,44.3,42.8,16.1
"11-29 18:34",91.7,9.89,26.9,42.8,16.1
"11-29 18:35",92.9,10.07,40.5,42.8,16
"11-29 18:36",75.8,9.4,22,42.8,16.1
"11-29 18:37",92.6,9.89,37,42.8,16
"11-29 18:38",116.4,11.41,30.3,42.8,16.1
"11-29 18:39",102.4,10.04,25.6,42.8,16
"11-29 18:46",92.2,9.89,40.1,41,16.1
"11-29 18:47",77.3,9.04,20.5,41,16
"11-29 18:48",77.4,9.33,26.3,41,16.1
"11-29 18:49",74.6,9.01,35.7,41,16.1
"11-29 18:50",63.5,8.75,26.3,41,16
"11-29 18:51",71.1,8.99,25.4,41,16
"11-29 18:52",68.1,8.88,33,41,16
"11-29 18:53",80.5,9.22,24,41,16
"11-29 18:54",76.2,8.86,26.3,41,16
"11-29 18:55",84,9.42,25.9,41,16
"11-29 18:56",72.4,8.86,24.5,41,16
"11-29 18:57",80.1,9.08,25.6,41,16
"11-29 18:58",72.5,9.08,29.9,41,16.1
"11-29 18:59",59.1,8.57,27,41,16
"11-29 19:00",55.8,8.43,30.4,41,16
"11-29 19:01",53.6,8.39,26.1,41,16
"11-29 19:02",71.3,8.9,26,41,16
"11-29 19:03",77.1,9.15,27.4,41,16
"11-29 19:04",85,10.13,28.2,41,16.1
"11-29 19:05",79.6,10.16,22.6,41,16.1
"11-29 19:06",93.8,10.85,28.7,41,16
"11-29 19:07",88.8,10.29,25.4,41,16.1
"11-29 19:08",85.3,10.29,29.1,41,16
"11-29 19:09",91.7,10.65,28.4,41,16
"11-29 19:10",91.3,10.89,24.7,41,16.1
"11-29 19:11",98.9,11.14,24.8,41,16.1
"11-29 19:12",86.1,10.54,27.7,41,16
"11-29 19:13",85.7,10.56,30.5,41,16
"11-29 19:14",93.4,10.2,39.5,41,16.1
"11-29 19:15",76,9.73,31.4,41,16
"11-29 19:16",61.3,9.08,31.7,41,16
"11-29 19:17",62.9,8.9,31.9,41,16
"11-29 19:18",49.8,7.94,31.3,41,16
"11-29 19:19",54.6,8.32,33,41,16
"11-29 19:20",63.9,9.04,32.5,41,16
"11-29 19:21",55.2,7.87,35.5,41,16
"11-29 19:22",68.1,8.81,39.2,41,16.1
"11-29 19:23",70.6,9.1,36.9,41,16.1
"11-29 19:24",72.9,9.51,37.1,41,16
