OBJECTID,Building,Rack_Type,Rack_Condition,Ground_Type,Ground_Condition,Rack_Secured,Number_bikes,Notes,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
35, rec center,Galvanized,Fair,Other,Good,No,1,,df581ef8-b428-418e-ae4a-ee6ef28ca7a3,5/5/15 19:35,,5/5/15 19:35,,-84.73801396,39.50221177
36, rec center,Galvanized,Good,Concrete Pavers,Good,No,4,3 racks,53d6da7f-f6e0-4013-9fd3-f318deeec9f4,5/5/15 19:37,,5/5/15 19:37,,-84.73773777,39.50218954
37, pines lodge,Galvanized,Poor,Concrete Pavers,Good,No,5,,248edb12-d366-457c-8b9b-6a6fb42f232a,5/5/15 19:41,,5/5/15 19:41,,-84.73854101,39.50119743
38, tallawanda,Galvanized,Poor,Concrete Pavers,Good,No,10,,a46cf91c-d22f-49e3-8503-8d5a1d02dcd1,5/5/15 19:43,,5/5/15 19:43,,-84.7374507,39.50118949
39, reid,Galvanized,Good,Concrete Pavers,Good,No,3,,aef4227f-eb1f-49cd-b2e6-4361ccbe9fdd,5/5/15 19:46,,5/5/15 19:46,,-84.73682368,39.50087452
40, goggin,Galvanized,Good,Concrete Pavers,Good,No,2,2 racks,90d4d591-2046-4023-a58d-b271808d4483,5/5/15 19:52,,5/5/15 19:52,,-84.73637719,39.50425949
41, phillips,Galvanized,Good,Concrete Pavers,Good,No,5,2 racks,cbe30697-a857-4c7a-b1db-72f0070e11d5,5/5/15 19:56,,5/5/15 19:56,,-84.73661818,39.50522265
42, phillips,Galvanized,Good,Concrete,Good,No,0,,f0a86cd5-2e6f-479f-9044-bdafa36187b9,5/5/15 19:59,,5/14/15 16:18,,-84.73677691,39.50561044
43, wells,Galvanized,Fair,Brick,Good,No,2,,60a9f17c-31b0-4572-82f7-7994c728849b,5/5/15 20:02,,5/5/15 20:02,,-84.73756625,39.50688601
44, wells,Galvanized,Good,Brick,Good,No,1,2 racks,64455e7e-5337-4c6a-b43d-9245a3d3b399,5/5/15 20:04,,5/5/15 20:04,,-84.73742014,39.50715598
45, millett,Galvanized,Poor,Concrete Pavers,Good,No,5,3 racks,891e430b-cd8a-441a-93af-8baa04c1ac46,5/5/15 21:09,,5/5/15 21:09,,-84.7351642,39.51712005
46, martin,Galvanized,Good,Concrete Pavers,Good,No,2,,042cd5ca-8057-444c-9383-cd60bc5cb4e5,5/5/15 21:14,,5/5/15 21:14,,-84.73347521,39.51502441
47, hahne,Galvanized,Good,Brick,Fair,No,8,2 racks,4537d167-2fdb-4990-8c95-261da9279812,5/5/15 21:17,,5/5/15 21:17,,-84.73282318,39.51512443
48, hahne,Galvanized,Good,Brick,Fair,No,3,2 racks,d7635f29-e7d9-4225-8a20-c20fcbf4cabd,5/5/15 21:19,,5/5/15 21:19,,-84.73254599,39.51529754
49, flower,Galvanized,Good,Brick,Good,No,21,3 racks,22f75aff-c770-449c-bd7c-5ade9e14dc70,5/5/15 21:22,,5/5/15 21:22,,-84.73269411,39.51589462
50, hahne,Galvanized,Fair,Brick,Fair,No,1,,9fa4ade7-342f-4798-96a1-f06419d80401,5/5/15 21:24,,5/5/15 21:25,,-84.73231366,39.51570949
51, flower,Galvanized,Poor,Other,Poor,No,1,,8a91bd1e-e061-4329-8217-3b7558f65085,5/5/15 21:27,,5/5/15 21:27,,-84.73230837,39.51619059
52, hepburn,Galvanized,Good,Brick,Fair,No,0,,e00ec245-3ef7-42ef-8c2f-8dcf007c3544,5/5/15 21:32,,5/5/15 21:32,,-84.73311921,39.51481961
53, brandon,Galvanized,Good,Brick,Good,No,1,,2ceb4091-8402-4429-9f05-a0bfd91d62de,5/5/15 21:36,,5/5/15 21:36,,-84.73356725,39.51449877
54, hepburn,Galvanized,Good,Brick,Good,No,0,2 racks,a0668717-ee5e-434a-94ff-79d4aa32af49,5/5/15 21:38,,5/5/15 21:38,,-84.73339553,39.51430895
55, macfarland,Galvanized,Good,Brick,Good,No,0,,5fe927a5-9452-46d0-b248-2724061e0f96,5/5/15 21:39,,5/5/15 21:39,,-84.73359842,39.51418962
56, macfarland,Galvanized,Good,Concrete Pavers,Good,Yes,1,,5655dd6a-5ead-4523-b8fe-5a5b5b038666,5/5/15 21:41,,5/5/15 21:41,,-84.73431122,39.51429257
57, brandon,Galvanized,Good,Concrete Pavers,Good,Yes,9,,09c48f27-6918-45b9-8375-75eb867635ef,5/5/15 21:43,,5/5/15 21:43,,-84.73428058,39.51446064
58, mcfarland,Black,Good,Brick,Good,Yes,3,,84c86592-10bb-4bff-898c-e1e1aea02a37,5/5/15 21:46,,5/5/15 21:46,,-84.73396519,39.51391088
59, hepburn,Galvanized,Poor,Brick,Good,No,6,,d557dfb8-9437-45c9-afa1-417e65775d72,5/5/15 21:49,,5/5/15 21:49,,-84.73308332,39.51394329
60, mckie field,Galvanized,Good,Brick,Good,No,0,,ca08220c-65e4-48b9-9812-ba354548cf9a,5/5/15 21:52,,5/5/15 21:52,,-84.73335301,39.51291386
61, university archives,Galvanized,Good,Concrete,Good,No,0,,b41a584e-3e37-4b3e-a55e-86144db6856c,5/5/15 21:54,,5/5/15 21:54,,-84.73373027,39.51220078
62, withrow court,Not a rack,Not a rack,Concrete Pavers,Good,Not a rack,2,need a rack,95b95196-7e26-41f4-83ad-2239f66f84f5,5/5/15 21:58,,5/5/15 21:58,,-84.73452893,39.51249708
63, swing,Galvanized,Poor,Brick,Fair,Yes,13,,22b1273a-7cfd-472d-a0b2-5c68aef26df8,5/5/15 22:05,,5/5/15 22:05,,-84.73447112,39.51149792
64, swing,Black,Good,Brick,Good,No,12,2 racks,83844c51-b04c-442e-a04f-afa36a33260b,5/5/15 22:07,,5/5/15 22:07,,-84.73434764,39.51148063
65, benton,Galvanized,Fair,Brick,Good,No,6,,76effa60-bce4-48c5-a00b-451f7e1d2056,5/5/15 22:09,,5/5/15 22:10,,-84.73402972,39.51088808
66, benton,Black,Good,Brick,Good,No,2,racks are very close together,8bfee0a8-7edd-455a-a5e8-68ba871f28b0,5/5/15 22:12,,5/5/15 22:12,,-84.7341698,39.51071419
67, benton,Black,Good,Concrete Pavers,Good,No,8,3 racks,d4646355-a811-4124-8ab2-473f778e7dfb,5/5/15 22:15,,5/5/15 22:15,,-84.73314583,39.51062654
68, benton,Black,Good,Other,Good,No,0,,2bbc9386-0b67-47dd-8f85-40557f1e8621,5/5/15 22:19,,5/5/15 22:19,,-84.73272869,39.51052491
69, benton,Galvanized,Good,Brick,Good,No,0,,c4692f9f-15bf-49f1-ab52-a8f112dc79ba,5/5/15 22:20,,5/5/15 22:20,,-84.73266088,39.51052227
70, pearson,Galvanized,Good,Concrete Pavers,Good,No,0,,0bf45e81-9bab-4602-8331-3beef480dcd2,5/5/15 22:22,,5/5/15 22:22,,-84.7317428,39.51063081
71, pearson,Black,Good,Concrete Pavers,Good,No,0,,0b0a89be-9ac1-4558-839f-79865e1072b1,5/5/15 22:22,,5/5/15 22:22,,-84.73174001,39.51067332
72, pearson,Galvanized,Good,Concrete Pavers,Good,No,1,,2ac816bf-9fbb-46c4-a48c-c20ca250fcef,5/5/15 22:23,,5/5/15 22:23,,-84.73163903,39.51056087
73, benton,Black,Good,Concrete Pavers,Good,No,1,2 racks,fd180463-0cb5-4a25-81a4-18f38f0b7638,5/5/15 22:26,,5/5/15 22:26,,-84.73185092,39.51065904
74, benton,Black,Good,Concrete Pavers,Good,No,0,,b5076e5e-1e3b-401d-855f-f8d2ce06bfd6,5/5/15 22:26,,5/5/15 22:26,,-84.73182888,39.51075945
75, psychology,Black,Good,Concrete Pavers,Good,No,0,,a6ba4582-95c8-4c98-a1a7-364672fd0c38,5/5/15 22:29,,5/5/15 22:29,,-84.73170096,39.51153217
76, psychology,Galvanized,Good,Concrete Pavers,Good,Yes,0,,8b8392f2-6151-4c1c-a8ca-df22e0495d81,5/5/15 22:32,,5/5/15 22:32,,-84.73113239,39.51193819
77, psychology,Galvanized,Good,Concrete Pavers,Good,No,0,,a4f1dc2c-e15a-4a73-98a2-6be1cf850312,5/5/15 22:33,,5/5/15 22:33,,-84.73111303,39.512111
79, farmer,Black,Good,Brick,Good,No,3,2 racks,8572eac1-37ae-428e-8d55-92335a5f552e,5/5/15 22:38,,5/13/15 21:14,,-84.73049217,39.51103108
80, farmer,Black,Good,Brick,Good,No,2,2 racks,dbd769b0-82de-4eb8-bdeb-40a4f09fb5e7,5/5/15 22:40,,5/13/15 21:14,,-84.7304838,39.51139924
81, farmer,Black,Good,Brick,Good,No,5,2 racks,f8d9ae72-db1b-4436-bda1-bc9a94aa1348,5/5/15 22:42,,5/13/15 21:14,,-84.73012189,39.51116569
82, farmer,Black,Good,Brick,Good,No,2,2 racks,18b83499-f13c-4a6d-ae43-90cb62dfa3fb,5/5/15 22:44,,5/13/15 21:15,,-84.72938009,39.51100859
83, farmer,Black,Good,Brick,Good,No,0,2 racks,6555b721-d645-4eee-89b9-4c9fbc5147a4,5/5/15 22:46,,5/5/15 22:48,,-84.72908172,39.51100861
84, farmer,Black,Good,Brick,Good,No,0,2 racks,dc2d604b-9e33-4111-a78a-4a546aeb074e,5/5/15 22:47,,5/5/15 22:47,,-84.72914152,39.51125913
85, culler,Black,Good,Concrete Pavers,Good,No,0,2 racks,dd3a2958-66fc-410c-9024-638dca1df563,5/5/15 22:58,,5/5/15 22:58,,-84.73234318,39.50769402
86, bachelor,Galvanized,Fair,Concrete,Good,No,3,,9de8785c-2ef3-4572-a4a3-54c0f4dbfbf2,5/12/15 15:34,,5/12/15 15:34,,-84.72983726,39.50749254
87, bachelor,Black,Good,Brick,Good,No,1,2 racks,2a7dbd6f-0725-4920-a629-38549fd64187,5/12/15 15:37,,5/13/15 21:22,,-84.73023333,39.50735633
