OBJECTID,Building,Rack_Type,Rack_Condition,Ground_Type,Ground_Condition,Rack_Secured,Number_bikes,Notes,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
145, glos center,Not a rack,Not a rack,Other,Fair,Not a rack,1,this building needs a rack,977cdac8-a1ec-48e1-b472-523c5f2915e7,5/13/15 19:34,,5/13/15 19:34,,-84.73168927,39.50092256
146, panuska development center,Galvanized,Good,Brick,Fair,No,0,,73ac2db9-55fd-4f77-97fa-667d27d4bd05,5/13/15 19:37,,5/13/15 19:37,,-84.7312314,39.49987627
147, advancement services,Galvanized,Poor,Concrete Pavers,Good,No,1,,401e7492-b51d-4689-9f6b-0ea04402d265,5/13/15 19:41,,5/13/15 19:41,,-84.73222756,39.49927859
148, maplestreet station,Black,Good,Concrete Pavers,Good,No,1,,a561c799-58d8-48ef-b89f-3dc7d95a60cf,5/13/15 19:48,,5/13/15 19:53,,-84.73221067,39.50437358
149, maplestreet station,Black,Good,Concrete Pavers,Good,No,1,,e204f8a7-16bd-4106-8553-b21c5a28646a,5/13/15 19:49,,5/13/15 19:52,,-84.73230978,39.50414784
150, maplestreet station,Black,Good,Concrete Pavers,Good,No,0,,ca9da0e1-db80-4f29-8523-1d6de54941d8,5/13/15 19:50,,5/13/15 19:52,,-84.73229503,39.50407944
151, center for performing arts,Galvanized,Poor,Concrete,Good,No,4,,d561866e-0d6e-4a09-8c8c-0ae237397833,5/13/15 19:56,,5/13/15 19:56,,-84.73213636,39.50477196
152, maplestreet station,Black,Good,Concrete Pavers,Good,No,1,2 racks,d369f1cb-4b40-4e57-bf8a-9e496754575d,5/13/15 19:58,,5/13/15 19:58,,-84.73264767,39.50481097
153, center for performing arts,Galvanized,Poor,Concrete,Good,No,0,,41ce0bad-e36b-4c96-ad58-ba35295b5214,5/13/15 20:02,,5/13/15 20:02,,-84.7321506,39.5052561
154, art building,Black,Good,Concrete Pavers,Good,No,0,,b564a9cb-6986-4327-a0bf-e23c1c25c6f1,5/13/15 20:05,,5/13/15 20:05,,-84.73127465,39.50552559
155, art building,Black,Good,Brick,Poor,No,0,,67f2c4e8-9aec-4b28-b54c-be4f5c257fb8,5/13/15 20:07,,5/13/15 20:07,,-84.73163399,39.50585326
156, art building,Galvanized,Fair,Brick,Good,No,0,,bdc3c516-8447-429c-a118-713f199c8b84,5/13/15 20:09,,5/13/15 20:09,,-84.73092971,39.50577736
157, hiestand,Black,Good,Brick,Good,No,0,,e44ec192-a743-4187-a5bc-c85b4ab7ffef,5/13/15 20:13,,5/13/15 20:13,,-84.73276418,39.50570976
158, shriver,Galvanized,Good,Brick,Good,No,3,,ef59a590-1b13-487d-8446-7bd2b3f01130,5/13/15 20:16,,5/13/15 20:17,,-84.73153349,39.5063391
159, shriver,Galvanized,Fair,Other,Good,No,1,2 racks,f54cf46a-0db9-4645-b059-1880288da2bb,5/13/15 20:19,,5/13/15 20:19,,-84.7312871,39.50678399
160, shriver,Galvanized,Fair,Brick,Good,No,6,2 racks,c9a22c2c-4985-4c8a-bb90-59c05650c52f,5/13/15 20:22,,5/13/15 20:22,,-84.73256241,39.50678236
161, MacMillan,Galvanized,Good,Brick,Good,No,2,,2e73e898-e4d1-4c6d-81a7-71015659daa4,5/13/15 20:25,,5/13/15 20:25,,-84.73354439,39.50665659
163, hall auditorium,Galvanized,Good,Brick,Fair,No,0,,dea979ac-eda0-42e2-9951-3ebba8c3571c,5/14/15 14:19,,5/14/15 14:19,,-84.73841663,39.50934537
164, roudebush,Not a rack,Not a rack,Concrete,Good,Not a rack,1,need a rack,60f3c11d-484f-423e-a4ef-51e803e61090,5/14/15 14:27,,5/14/15 16:16,,-84.73446404,39.509269
165, irvin,Black,Good,Brick,Good,No,3,2 racks,481e02b8-c328-440c-ae0b-78ddc2591cb0,5/14/15 14:43,,5/14/15 16:17,,-84.73560119,39.50766338
166, McGuffey,Galvanized,Good,Brick,Good,No,2,,64d06742-7774-47be-80b9-bdf6b3562142,5/14/15 14:47,,5/14/15 14:47,,-84.73772685,39.50762259
167, archives,Galvanized,Good,Other,Fair,No,0,,6068fe1c-f493-4bd2-b7f1-c80e6eff833c,5/14/15 15:22,,5/14/15 15:22,,-84.73382125,39.51281048
168, art museum,Black,Good,Brick,Good,No,0,,39f6f3cb-6c37-43a1-b14e-f160abdd3720,5/14/15 15:34,,5/14/15 15:58,,-84.72943093,39.50092921
